singers,lyric,title
Mỹ Tâm,"Nhớ mãi hôm nào, gặp mặt nhau mà ta như chẳng muốn chào nhau  Cứ mãi hững hờ qua từng ngày ta cứ ngó lơ  Ghét nhau lúc đầu, ai ngờ đâu rằng ta sẽ nhớ mai sau  Em cứ ngu ngơ, cứ lơ mơ tình bất ngờ.    Rồi em mới hay, tình yêu bắt đầu khi tiếng cười em vút bay  Làm anh ngẩn ngơ anh cứ vờ như không nhớ.    Hẹn hò em, rồi nói vu vơ với em.  Người cứ trêu chọc suốt đêm, và chẳng bao giờ nói thêm.  Rồi một đêm, người nắm tay em rất lâu.  Làm trái tim chợt xuyến xao, ngước lên nhìn mắt nhau.  Wow Wow Wow ...    Bóng trăng đã tàn, rồi về khuya dường như muốn nói: ""Ta về thôi""  Thế sao vẫn ngồi, anh nhẹ nhàng hôn lên mắt môi  Thật nồng say, một nụ hôn tựa như mây.    Oh first kiss! You make me happy! You make me crazy!    Rồi em mới hay thì ra có người thương nhớ thầm em bấy lâu.  Nhìn nhau rất lâu anh đã đặt vào làm môi.  Oh first kiss! You make me happy!  Chẳng nói lên được tiếng chi, giờ chỉ nghe nhịp trái tim.  Oh first kiss! You make me crazy!  Chẳng muốn ta rời bước đi, chỉ muốn tan vào với nhau.  Wow Wow Wow ...    Rồi em mới hay tình yêu bắt đầu khi tiếng cười em vút bay.  Làm anh ngẩn ngơ anh cứ vờ như không nhớ.  Oh .....    Hẹn hò em, rồi nói vu vơ với em.  Người cứ trêu chọc suốt đêm, và chẳng bao giờ nói thêm.  Rồi một đêm, người nắm tay em rất lâu.  Làm trái tim chợt xuyến xao, ngước lên nhìn mắt nhau.  Wow Wow Wow ...    Oh first kiss! You make me happy!  Chẳng nói lên được tiếng chi, giờ chỉ nghe nhịp trái tim.  Oh first kiss! You make me crazy!  Chẳng muốn ta rời bước đi, chỉ muốn tan vào với nhau.  Wow Wow Wow ... ",Nụ Hôn Bất Ngờ
Mỹ Tâm,"Bài hát: Đôi Mắt Người Xưa - Mỹ Tâm  Chuyện tình của tôi tan vỡ từ lâu rồi Tưởng không bao giờ còn nhớ Nhưng bỗng một hôm trên đường ra phố thị Tôi gặp người yêu ngày nào.  Đôi mắt ưu tư thật buồn nàng nhìn tôi Rồi quay mặt bước đi như không hề *** biết Cũng đôi mắt này năm xưa lạc vào hồn tôi Trong những đêm không ngủ chong đèn nhìn khói thuốc bay.  [ĐK:] Em dĩ vãng đôi mình được dệt thành Bao kỷ niệm từ khi mới *** nhau Ôi đôi mắt người xưa bao lần khóc ướt vai tôi Trong những đêm giận hờn.  Rồi ngày tháng êm trôi, cuộc đời chia hai lối Bỗng một hôm có thiệp hồng báo tin vui, tin em lấy chồng Khi về bên ấy, em có nhớ người xưa không?  Người tình của tôi xa cách từ bao ngày Tưởng không bao giờ gặp nữa Cơn gió chiều nay vô tình mang nỗi buồn Cho kỷ niệm thêm nghẹn ngào.  Thôi trách nhau chi chuyện tình dù dở dang Đã tan thành khói sương xin quên vào dĩ vãng Đôi mắt người xưa xin đừng buồn vì tôi Cho trái tim tôi ngủ quên chuyện tình xưa lỡ làng. ",Đôi Mắt Người Xưa
Mỹ Tâm,- Hiện chưa có lời bài hát nào cho Cây Đàn Sinh Viên (DJ Tùng Kuty Remix) do ca sĩ Mỹ Tâm trình bày. Bạn có thể click vào đây để đăng lời cho bài hát này. ,Cây Đàn Sinh Viên (DJ Tùng Kuty Remix)
Mỹ Tâm,- Hiện chưa có lời bài hát nào cho Ước Gì (Remix 2017) do ca sĩ Mỹ Tâm trình bày. Bạn có thể click vào đây để đăng lời cho bài hát này. ,Ước Gì (Remix 2017)
Mỹ Tâm,"Bài hát: Chuyến Tàu Hoàng Hôn - Mỹ Tâm Nhạc sĩ: Minh Kỳ, Hoài Linh  Chiều nao, tiễn nhau đi khi bóng ngả xế tà Hoàng hôn đến đâu đây màu tím dâng trong hồn ta Muốn không gian ngừng tan, níu đôi chân thời gian Ngừng trôi cho giây phút chia ly này kéo dài Trước khi phân kỳ, ước sao cho tàu đừng đi.  Xe lăn trong đêm khuất xa rồi biết đâu tìm Mưa thu bay bay vắt ngang trời ướt vai mềm Hoàng hôn dần buông Mà ai còn đứng im trong chiều sương xuống.  Tâm tư cô đơn trách con tàu nỡ sao đành Đem yêu thương đi đến nơi nao cách đôi tình. Đường bao nhịp nối, tình trăm nghìn mối Hướng theo một bóng người.  Tà dương khuất trong sương là mỗi lần ngóng chờ Nhìn theo phía chân mây, đợi chuyến xe xưa về chưa Nếu hay chăng người ơi, chốn xa xôi lòng trai Còn đem yêu thương rắc lên muôn vạn oán hờn Nếu mai đây về, cũng trên chuyến tàu hoàng hôn. ",Chuyến Tàu Hoàng Hôn
Mỹ Tâm,"Bài Hát: Chờ Mong Ca Sĩ: Mỹ Tâm  Muôn tia nắng lung linh sớm mai Xua tan hết âm u đêm dài Sương khuya vẫn in trên lá xanh Chờ em đến đây cùng anh.  Bao năm tháng héo khô bấy lâu Mong anh đến xóa đi âu sầu Con tim khát khao thôi đớn đau Tình yêu tái sinh trong nhau.  Người yêu hỡi Em vẫn trông theo cánh chim ngàn Chờ anh đến, cùng bước đi trong vườn tình Ngồi dưới hiên căn nhà xinh Từng ngày bên nhau đắm đuối Sống trong tình yêu Để lại sau lưng tháng năm Đếm cô đơn quạnh hiu  Hãy mau trở về Có tôi chờ người ",Chờ Mong
"Mỹ Tâm,Đức Mạnh","Bài hát: Sầu Tím Thiệp Hồng - Mỹ Tâm, Đức Mạnh  Từ lúc *** nhau chưa nói một lời gì, tỏ tình ta mến nhau Nhiều đêm ngắm sao mơ ước duyên mình bền bền lâu, suốt đời tình thắm sâu Nhớ thương đầy vơi, mộng thấy ai mỉm cười, làn môi xinh tuyệt vời Để rồi buồn ơi, ánh trăng soi còn đó, mà nghe hơi gió biết rằng mình vừa mơ.  Khi yêu hồn như nở hoa xây mộng tuyệt vời Nắm tương lai trong bàn tay một câu nói thôi. Đôi khi gặp nhau muốn khơi nhưng rồi lại thôi Nói ra e ngại, hồn theo gió trôi.  Hôm nay nhìn xe kết hoa xuôi ngược nẻo đường, Gửi thư trao cho người yêu, vài câu luyến thương. Hân hoan hồn như nở hoa, trông chờ hồi âm, Đắng cay trong lòng chỉ thấy thiệp hồng.  Chiều tím không mây, đường cũ bước lần về, buồn nghe day dứt tim Nhìn xe kết hoa màu trắng ngỡ rằng mình mơ, pháo hồng nhuộm tiễn đưa Lá thu chậm rơi từng lá nghe buồn buồn tưởng bước ai tìm về Mở rộng vòng tay đón em nhưng nào thấy Sầu dâng lên tim biết bao giờ cho khuây?  Khi yêu hồn như nở hoa xây mộng tuyệt vời Nắm tương lai trong bàn tay một câu nói thôi. Đôi khi gặp nhau muốn khơi nhưng rồi lại thôi Nói ra e ngại, hồn theo gió trôi.  Hôm nay nhìn xe kết hoa xuôi ngược nẻo đường, Gửi thư trao cho người yêu, vài câu luyến thương. Hân hoan hồn như nở hoa, trông chờ hồi âm, Đăng cay trong lòng chỉ thấy thiệp hồng.  Chiều tím không mây, đường cũ bước lần về, buồn nghe day dứt tim Nhìn xe kết hoa màu trắng ngỡ rằng mình mơ, pháo hồng nhuộm tiễn đưa Lá thu chậm rơi từng lá nghe buồn buồn tưởng bước ai tìm về Mở rộng vòng tay đón em nhưng nào thấy Sầu dâng lên tim biết bao giờ cho khuây?  Mở rộng vòng tay đón em nhưng nào thấy Sầu dâng lên tim biết bao giờ cho khuây? ",Sầu Tím Thiệp Hồng
Mỹ Tâm,"Tình yêu như mật ngọt trên cao. Làm lòng ta luôn khát khao. Tình yêu như mộng đẹp nên thơ. Làm lòng ta luôn ước mơ. Trái tim em nguyện thề yêu anh. Gửi trọn tình yêu đến anh. Dấu yêu ơi, gửi đến mai sau. Em muốn bên anh mãi mãi.  Nhé anh, yêu em mãi luôn nghe anh. Yêu em mãi luôn trong đời. Mối tình ta mãi lâu dài. Và anh sẽ là tia nắng ấm luôn bên em. Cơn gió mát luôn hiền hòa. Ta cùng nhau mãi bước chung đôi trên lối về.  Dù chông gai lòng chẳng đổi thay. Tình ta mãi không phai. Dù âu lo đời nhiều cam go. Mình càng yêu nhau say đắm...  Và anh ơi, mật ngọt anh trao. Mà lòng hằng luôn ước ao. Tình đôi ta dịu dàng nên thơ. Tựa cùng nhau trong giấc mơ. ",Nhé Anh
Mỹ Tâm,"Bài Hát: Mặt Trời Trong Em - Mỹ Tâm  Ngồi ngắm ánh trăng thở nào Lòng em bỗng thấy nhớ anh nhiều hơn Dẫu tháng năm trôi qua em vẫn ước rằng.  Tình vẫn mãi như thuở nào Nụ hôn sẽ mãi đắm say trong vòng tay Đừng có dối em hỡi người, em vẫn mong chờ.  Đừng khóc để quên nỗi sầu Ngoài kia mưa dứt nắng lên từ lâu Hãy xoá đi kỷ niệm trong em ngày ấy Nắng đã lên cuối ngày.  [ĐK:] Tình chỉ là hư ảo Hãy giữ cho nhau bao nhiêu kỷ niệm Tình nào vội ra đi Mang theo con tim em về nơi ấy Đã biết trước lúc chia tay nhau Mặt trời trong em chợt bừng lên khao khát.  Tình chỉ là cơn gió Gió thổi ngang qua, qua cuộc đời này Tình chỉ là cơn say Say trong đêm nay ngủ vùi trong trí nhớ Hãy đánh thức những giấc mơ trong em Và hãy giữ lấy một trái tim yêu người.  * Mặt trời hãy sáng lên trong em Cho trái tim còn mãi tình yêu Mặt trời hãy cháy lên trong em Cho trái tim xoá tan nỗi buồn. ",Mặt Trời Trong Em
Mỹ Tâm,- Hiện chưa có lời bài hát nào cho Thì Thầm Mùa Xuân Beat do ca sĩ Mỹ Tâm trình bày. Bạn có thể click vào đây để đăng lời cho bài hát này. ,Thì Thầm Mùa Xuân Beat
Mỹ Tâm,Bài hát: Xin Đời Cho Có Đôi - Mỹ Tâm  Chỉ là như thế anh đi Chỉ là như thế em đi Chỉ là như thế sương rơi tràn mi.  Chỉ là câu hát trên môi Chỉ là đôi mắt xa xôi Chỉ là như thế sao anh thương hoài.  Ngày xưa bình yên từng tiếng cười Cầm tay mình chung một lối về Em không còn đơn côi.  Đời không bình yên từng tiếng đàn Mùa thu còn rơi nhiều lá vàng Nghe tình yêu xa mãi.  Người đi tìm mua một tiếng cười Màn nhung ngoài kia vừa khép rồi Em đi về bên tôi.  Ngày mai mình quên một nỗi buồn Ngày mai mình yêu người cuối cùng Xin đời cho ta có đôi. ,Xin Đời Cho Có Đôi
Mỹ Tâm,Bài Hát: Vấn Vương - Mỹ Tâm  Yêu em dù biết em hay dỗi hờn Yêu em để trái tim luôn khát khao Sẽ yêu trọn một đời Và sẽ yêu em mãi thôi Sẽ dâng trọn tình này Và sẽ yêu em suốt đời  Yêu em dù biết em hay trách anh Dù mai đây có lắm thương đau Sẽ yêu em như ngày đầu Người yêu ơi đừng dối gian nhau Để tình ta đừng chóng phai mau Hỡi người yêu ơi đời có bao lâu Xin đừng xa nhau  Này em biết chăng mỗi khi Màn đêm xuống dần Mình anh chốn đây Nhớ mong về em rất nhiều Bao yêu thương Vấn vương ngày nào Giờ đây đã tan vào hư vô  Này em biết chăng Mỗi khi mình xa cách nhau Mình anh chốn đây Hắt hiu lòng nghe nhói đau Xin yêu em vẫn như ngày nào Và sẽ mãi yêu em suốt đời  ,Vấn Vương
Mỹ Tâm,"Bài hát: Chỉ Có Thể Là Tình Yêu (Beat & Instrumental) - Mỹ Tâm  Một mình trong căn, phòng vắng anh nghe đâu đây có tiếng chân em Nụ cười ngây thơ vuốt ve nỗi đau, anh nhớ em Chắc em vẫn còn, hờn trách khi anh nói câu chia tay Nhưng xin anh biết mãi trong lòng anh, anh vẫn yêu em  ĐK: anh mãi yêu em, sẽ mãi yêu em Anh cũng biết rằng yêu là bao lần ta khổ đau Thôi hãy chia tay, để mãi không còn Hờn trách nhau để không còn ai nhận ra Tình yêu của ta đã không như lúc đầu Anh yêu em thật nhiều mà tại sao em không biết Chỉ cần được bên em trong bình yên là hạnh phúc, nhưng anh đã sai  Giờ ngồi nơi đây, chìm đắm với bao ký ức có em hôm qua Và bàn tay anh vuốt ve tóc mềm, anh nhớ em Chắc em vẫn còn, hờn trách khi anh nói câu chia tay Nhưng xin em biết mãi trong lòng anh, anh vẫn yêu em  ĐK: anh mãi yêu em, sẽ mãi yêu em Anh cũng biết rằng yêu là bao lần ta khổ đau Thôi hãy chia tay, để mãi không còn Hờn trách nhau để không còn ai nhận ra Tình yêu của ta đã không như lúc đầu ( anh yêu em, anh nhớ em....) Anh yêu e thật nhiều mà tại sao e không biết Chỉ cần được bên e trong bình yên là hạnh phúc, nhưng anh đã sai  *** Tuy em không còn được gần bên anh Nhưng bao yêu thương dành cho em đó anh yêu em/ yêu/ hơn chính anh anh mong cho em được tình yêu mới Không như anh đây ngồi buồn đau mãi anh yêu em /yêu/ hơn chính anh anh mãi yêu em người ơi anh mãi yêu em người ơi..........  anh mãi yêu em, sẽ mãi yêu em Anh cũng biết rằng yêu là bao lần ta khổ đau Thôi hãy chia tay, để mãi không còn Hờn trách nhau....... au... àu... Tình yêu của ta đã không còn như lúc đầu âu ầu, hơ ờ hớ...... hớ ơ ớ ơ ơ Tình yêu của ta đã không Tình yêu của ta đã không còn như lúc đầu âu..... ầu... anh yêu em......., anh nhớ em..... ém... em ...em nhớ ờ ơ.. ",Chỉ Có Thể Là Tình Yêu Beat
Mỹ Tâm,"Bài hát: Niềm Tin Chiến Thắng (Beat) - Đang Cập Nhật  Tôi sẽ hát cho những niềm vui những nỗi buồn Tôi sẽ hát cho giọt nước mắt lăn trên môi ai Đừng khóc nhé em, đừng buồn nhé anh Vì cuộc đời đâu mãi chỉ có niềm vui.  Tôi sẽ hát cho những niềm tin hiện lên rạng ngời Tôi sẽ hát cho ngọn lửa mãi vẫn cháy trong tim Hạnh phúc sẽ đến với tôi và sẽ đến cho mọi người Hát về một ngày mai tươi sáng rạng ngời.  Dẫu có khó khăn thì bạn ơi vẫn luôn tin rằng Dẫu có đớn đau thì bạn ơi hãy giữ một niềm tin.  Niềm tin chiến thắng sẽ đưa ta đến bến bờ vui Niềm tin chiến thắng nối con tim yêu thương mọi người Niềm tin chiến thắng sẽ đưa ta đến giữa cuộc đời Niềm tin chiến thắng luôn mãi trong tim mỗi chúng ta.  There's many thing that you have to do hard There's anh lot of pain that you have to come through.  We are the champions, we make anh better world We are the champions, we start to understand We are the champions, we go in hand in hand We are the champions, keep on fighting till the end. ",Niềm Tin Chiến Thắng Beat
Mỹ Tâm,Bài Hát: Em của tôi - Mỹ Tâm  Em là ai Là hoa là hương Là nắng mai Là son là tươi Là áo mới thơm vô cùng Có chăng em là xuân Là xanh là non Là cánh măng Là trời đầy vơi Là mây trắng bay về quanh Để thêm em sáng chói Thêm những giấc mơ vui Để cần em thêm nhan sắc Thêm sức xuân Cho nhân gian mừng Ơi em của tôi ơi Bước ra xuân tươi Nắng mới đến với em Hồng thêm nhé đôi môi Ơi em của tôi ơi Tiếng ca buông lơi Lời ca bay vào phố đông Rồi tiếng em Sẽ hoà tan vào ngày mới Em là ai Là vui triền miên Là tiếng ca Là êm là nhung Lá gấm vóc trôi trong đời Có khi em là mơ Là mơ thật huy hoàng Giấc mơ Là đêm thần tiên Là đêm trắng Đêm tình nhân Là yêu thương nối tiếp Cho những trái tim son Tìm về nhau Trao hơi ấm trao mắt môi Ríu rít tiếng cười Ơi em của tôi ơi Bước ra xuân tươi Nắng mới đến với em Hồng thêm nhé đôi môi Ơi em của tôi ơi Tiếng ca buông lơi Lời ca bay vào phố đông Rồi tiếng em Sẽ hoà tan vào ngày mới Để thêm em sáng chói Thêm những giấc mơ vui Để cần em thêm nhan sắc Thêm sức xuân Cho nhân gian mừng Ơi em của tôi ơi Bước ra xuân tươi Nắng mới đến với em Hồng thêm nhé đôi môi Ơi em của tôi ơi Tiếng ca buông lơi Lời ca bay vào phố đông Rồi tiếng em Sẽ hoà tan vào ngày mới Ơi em của tôi ơi Bước ra xuân tươi Nắng mới đến với em Hồng thêm nhé đôi môi Em của tôi ơi Tiếng ca buông lơi Lời ca bay vào phố đông Rồi tiếng em Sẽ hoà tan vào ngày mới  ,Em Của Tôi
Mỹ Tâm,"Bài hát: Lời Buồn Thánh - Mỹ Tâm  Chiều chủ nhật buồn Nằm trong căn gác đìu hiu Ôi tiếng hát xanh xao của một buổi chiều Trời mưa, trời mưa không dứt Ô hay mình vẫn cô liêu Chiều chủ nhật buồn Nằm trong căn gác đìu hiu Nghe tiếng hát xanh xao của một buổi chiều Bạn bè rời xa chăn chiếu Bơ vơ còn đến bao giờ Chiều chủ nhật buồn Nằm trong căn gác đìu hiu Tôi xin năm ngón tay em thiên thần Trên vùng ăn năn, qua cơn hờn dỗi Tôi xin năm ngón tay em đưa vào cô đơn. Chiều chủ nhật buồn lặng nghe gió đi về... ",Lời Buồn Thánh
Mỹ Tâm,- Hiện chưa có lời bài hát nào cho Hãy Về Với Nhau (Nhạc Chuông) do ca sĩ Mỹ Tâm trình bày. Bạn có thể click vào đây để đăng lời cho bài hát này. ,Hãy Về Với Nhau (Nhạc Chuông)
Mỹ Tâm,Bài Hát: Dịu Dàng Sắc Xuân - Mỹ Tâm  Nắng xuân ấm thêm môi hồng Gió xuân đến bên em ngồi cùng mùa xuân em hát câu tình ca  Đoá cúc trắng bên hiên nhà Ngỡ như dáng ai đang về Ngọt ngào hương xuân thắm trên bờ môi  Nhịp nhàng đàn chim én bay Ô kìa mùa vui bao đắm say Một mùa xuân bao thắm tươi! Quê hương với bao niềm vui!  Rộn ràng đàn em bé thơ Tưng bừng mừng mùa xuân mới sang Dịu dạt dào bao sắc xuân Hát cùng em khúc tình ca  Cánh mai thắm tươi xuân nồng Ấm đôi má em thêm hồng Cùng mùa xuân đem đến giữa đời vui Tiếng chim hót vui cho đời Tiếng em hát thêm yêu người Đẹp mùa xuân đất nước trong lòng tôi ,Dịu Dàng Sắc Xuân
Mỹ Tâm,Lúc buồn người hát trong tay người Người sẽ thấy chút vui sẽ thấy đời sáng xuân ngời Hát rằng trái tim này đang hồng Nắng lên và mây đưa đi trái tim bềnh bồng  Người sẽ thấy chân son lại sẽ tung tăng Đường về vui như mới xây từ trong cơn mơ Có khi đâu ngờ nắng tưng bừng thế kia Mây trắng đến che nghiêng một dáng ngọc Rồi có khi đâu ngờ bước lên khu vườn thơm Nhìn ra màu lóng lánh hoa đơm bên vai người  Có lần người khóc trong tay người Vườn nắng cũng héo hon xuân cũng tàn hết bên đời Nắng ngời hết nơi nương náu rồi Nắng tan thành sương chết trong trái tim người buồn  Rời xa nhé âm u để trái tim xinh Lại hồng lên như mới trong ngực em lung linh Tóc nâu môi trầm bước ra nhìn phố đông Con phố sẽ đưa em về chốn hẹn Rồi có khi đâu ngờ thấy xôn xao tình yêu Tình như lòng giấy mới ngây thơ ta dâng người ,Tóc Nâu Môi Trầm
Mỹ Tâm,"Lắng nghe tiếng con tim. Biết em đã yêu anh. Tình là ánh nắng muôn màu. Tình là ánh mắt thiết tha trao nhau. Những phút bên anh, hạnh phúc với bao lời yêu.  Dù biết em vẫn yêu anh. Thế sao cứ luôn băn khoăn? Sợ tình phút chốc phai tàn. Sợ tình mong manh khói sương mau tan. Hãy nói yêu nhau, và mãi bên nhau nhé em.  ĐK: Và em đã biết, đã biết, em đã yêu anh rất nhiều. Người yêu dấu hỡi lòng em ước mơ, được gần mãi mãi bên anh. Và sẽ mãi không cách rời. Dù những đổi thay trong đời. Nguyện sẽ yêu anh yêu anh, chỉ anh mà thôi.  Đừng xa em nhé! Người ơi, xin hãy bên nhau suốt đời. Và anh hãy nói, hãy nói, với em trong lòng chỉ có em thôi. Đời ấm áp trong tiếng cười. Tình yêu thiết tha muôn lời. Hãy nói với em, chỉ yêu mãi em mà thôi. ",Hãy Nói Với Em
Mỹ Tâm,"Bài hát: My Friend (Beat & Instrumental) - Mỹ Tâm  Mỗi khi tôi buồn vui vu vơ bạn lại gần bên tôi Kể tôi nghe nào những câu chuyện thường ngày trong đời Vậy mà tôi vô tâm rồi cứ quay lưng đi Và nhiều khi tôi không muốn nghe Biết bao nhiêu là yêu thương tôi, bạn chỉ lặng im thôi Vẫn lắng nghe tôi kể câu chuyện tình buồn của mình Rồi bạn cho tôi nghe bài hát xưa trong đêm Gục đầu trên đôi tay tôi khóc Ngồi khóc trong phòng tối chỉ có đôi bạn thôi Khẽ đưa bàn tay lên đôi vai tôi và ru Bạn vẫn cứ lặng lẽ nhìn thấy tôi buồn thế Từng giọt cứ rơi trên đôi tay tôi đang ướt nhòe Giọt nước mắt bạn lau giúp tôi, my friend. Những khi đêm về trong lo âu bạn lại gọi cho tôi Nói với tôi hãy giữ yên bình từ trong tâm hồn Cuộc đời không như mơ, tình cũng không như thơ Thì thôi xem như cơn gió qua... Thế nhưng tôi lại hay quên đi bạn mình buồn vui chi Chẳng nghĩ suy để hiểu trong lòng bạn buồn những gì? Mà tại tôi vô tâm nhiều lúc quay lưng đi Để bạn cô đơn tôi đâu biết Chỉ có khi buồn lắm là nhớ đến bạn thôi Muốn nghe được đôi ba câu cho tôi bình yên Gọi mãi nhưng nào thấy, bạn ở nơi nào đấy Từng giờ cứ trôi qua tôi trong lo âu mong chờ Bạn buồn lòng vì tôi phải không? My friend. Khi buồn vui bạn thường bên tôi Hai chúng ta cách xa nhưng gần Khi bạn buồn lại thường giấu kín Lòng tôi đâu biết! Chỉ có khi buồn lắm là nhớ đến bạn thôi Muốn nghe được đôi ba câu cho tôi bình yên Gọi mãi nhưng nào thấy, bạn ở nơi nào đấy Từng giờ cứ trôi qua tôi đang lo âu mong chờ Bạn buồn lòng vì tôi phải không? Bạn hỡi xin hãy nói dù chỉ 1 lời thôi Dẫu cho là tôi không mang cho bạn bình yên Gọi mãi nhưng nào thấy, bạn ở nơi nào đấy Từng giờ cứ trôi qua tôi đang lo âu mong chờ Bạn thật lòng cần tôi phải không? My friend. ",My Friend Beat
"Mỹ Tâm,DJ Thái Hoàng","Bài hát: Dấu Yêu Remix 2016 - Mỹ Tâm, DJ Thái Hoàng  Tình như thoáng mây, để cơn gió cuốn trôi bao ngày Tình sao chóng phai, để mình ta ôm sầu đắng Ngày nào còn thấy môi em cười Giờ chỉ là dĩ vãng xa rồi Nhớ em, anh vẫn thầm nhớ ...  Một mai nhé em, về bên ấy chớ quên câu thề Lời yêu đắm say, mình đã trót trao ngày ấy Ngày nào còn có em trong đời Giờ chỉ là giấc mơ qua rồi Nhớ em, anh nhớ suốt đời  Dấu yêu ngày xưa, này em có nhớ không Vắng em đời anh ngày đêm vẫn nhớ mong Thoáng nghe hồn chơi vơi, khi tình đôi ta đã xa Còn đâu...  Dấu yêu ngày xưa vì sao em nỡ quên Vắng em đời anh ngày càng nhung nhớ thêm Thoáng nghe hồn bâng khuâng, mơ hình bóng em về  Dấu yêu ngày xưa, này em có nhớ không Vắng em đời anh ngày đêm vẫn nhớ mong Thoáng nghe hồn chơi vơi, khi tình đôi ta đã xa Còn đâu... người ơi...  Dấu yêu ngày xưa vì sao em nỡ quên Vắng em đời anh ngày càng nhung nhớ thêm Thoáng nghe hồn bâng khuâng, mơ hình bóng em về ",Dấu Yêu Remix 2016
Mỹ Tâm,Bài hát: Hãy Tha Thứ Cho Em - Mỹ Tâm  Người yêu ơi anh có hay từng ngày qua dẫu đắng cay Yêu anh em hôn tình yêu quá muộn màng Tình dở dang hay dối gian lời thở than ôi giấc mơ Bên anh ôm trong vòng tay đã xa rồi Ngày êm trôi mưa vẫn rơi từng giọt tan giữa biển khơi Anh ơi hạnh phúc ngọt ngào giấc mơ  [Chorus]  Dòng đời cuộn sóng bão tố đã đến Một đời yêu anh sao anh quên Từng nụ hôn trên môi em dẫu lạnh lùng Nhớ anh nhiều và chờ mong Mong anh quay về để tình yêu Yêu anh em yêu mãi mãi anh ơi đêm đông đã tàn  Vì cuộc tình ấy vẫn cháy vẫn cháy Đay hờn ghen riêng em nơi đây Người đi hay bóng đêm đen phủ mờ Em vẫn nhớ hãy mong anh thứ tha Tìm đâu anh hỡi tình yêu ,Hãy Tha Thứ Cho Em
